,hashtags,goldtruths
0,eclipse,"['eclipse', 'Eclipse']"
1,k,"['K', 'k']"
2,pmqs,['pmqs']
3,stupidaccident,['stupid accident']
4,addictivetvshows,['Addictive TV Shows']
5,TCM,['tcm']
6,WakingUpTooEarlyFail,['waking up too early fail']
7,NYC,['NYC']
8,helpme,['help me']
9,slimnas,['Slimnas']
10,twistory,['twistory']
11,e3xbox,['E3 Xbox']
12,sadalcholics,['sad alcholics']
13,Throwdown,"['throw down', 'throwdown', 'Throwdown']"
14,carelessmistakeI,['careless mistake I']
15,marsarmy,['mars army']
16,socStardom3,"['socStardom3', 'soc stardom 3']"
17,myparentscookandfreezeitforme,['my parents cook and freeze it for me']
18,MyFirstTime,"['My First Time', 'my first time']"
19,podstock09,"['podstock 09', 'podstock09']"
20,FreeBSD,"['FreeBSD', 'Free BSD']"
21,mtv,"['MTV', 'mtv']"
22,groezrock,"['groezrock', 'groez rock']"
23,Moose,"['Moose', 'moose']"
24,phenway,['phenway']
25,AWESOME,"['awesome', 'AWESOME']"
26,caughtinthemiddle,['caught in the middle']
27,TechFellow,['Tech Fellow']
28,tommybaby09,['tommy baby 09']
29,guru,['guru']
30,silverlight,"['silverlight', 'Silverlight']"
31,newmoon,"['new moon', 'New moon', 'New Moon']"
32,GuiltyPleasures,['guilty pleasures']
33,stopniley,['stop niley']
34,journalist,['journalist']
35,trvsdjam,['TRVS DJAM']
36,nhl,"['nhl', 'NHL']"
37,matchmaker,"['Matchmaker', 'match maker', 'matchmaker']"
38,CoD5,"['CoD5', 'CoD 5']"
39,twitteradio,['twitteradio']
40,Sitecore,['Sitecore']
41,retard,['retard']
42,OrlandoMagic,['Orlando Magic']
43,Twittarrr,['Twittarrr']
44,TiVo,['TiVo']
45,CloudViews,['Cloud Views']
46,reinvention,['reinvention']
47,sqr,['sqr']
48,constipation,['constipation']
49,OWF,"['owf', 'OWF']"
50,cue,['cue']
51,blogroll,"['Blogroll', 'blogroll']"
52,grilling,['grilling']
53,honestsundays,['honest sundays']
54,TheRescue,['the rescue']
55,followers,['followers']
56,OneNote,"['OneNote', 'one note', 'One Note']"
57,tehran,['tehran']
58,HeHas2muchSwagga,['He Has 2 much swagga']
59,comedianmedicines,['comedian medicines']
60,cempaka_STW,['cempaka _ STW']
61,abff,['ABFF']
62,Susan,['Susan']
63,portugal,"['Portugal', 'portugal']"
64,artists,['artists']
65,TechPB,['TechPB']
66,Torturewood,"['Torture Wood', 'torturewood']"
67,chatfail,['chat fail']
68,downtime,['down time']
69,Jetblue,['Jetblue']
70,DSAS09,['DSAS 09']
71,tweetaporsms,['Tweet a por sms']
72,ahsunday,['ah sunday']
73,phrases,['phrases']
74,mozmae,['mozmae']
75,alltimeblow,['all time blow']
76,CantonFirstFri,['Canton first fri']
77,rats,['rats']
78,thingsthathurtthemost,['things that hurt the most']
79,fridayfollow,['friday follow']
80,sosickofhockeytoo,['so sick of hockey too']
81,Worms,['worms']
82,nomaintenance,['no maintenance']
83,ISC09,['ISC 09']
84,killmenow,['kill me now']
85,fakeceleb,"['fake celeb', 'Fake Celeb']"
86,IndiaGovt,"['india govt', 'India Govt']"
87,SUPAFLYCREDIBLE,"['SUPA FLY CREDIBLE', 'Supafly credible', 'SUPAFLYCREDIBLE', 'SUPAFLY CREDIBLE']"
88,youregreat,"['youre great', 'you re great']"
89,musiclover,['music lover']
90,mscoscon,['MSCOSCON']
91,GoWings,['Go Wings']
92,dvd,['dvd']
93,ultra,['ultra']
94,linguistics,['Linguistics']
95,scramblesunday,['scramble sunday']
96,GuidingLight,"['Guiding Light', 'guiding light']"
97,funnelcake,['funnel cake']
98,thankyouGod,['thank you God']
99,hdd,['HDD']
100,sheepstacker,['sheep stacker']
101,hold,['hold']
102,Vistage,['Vistage']
103,Kolkata,['Kolkata']
104,AdWords,['AdWords']
105,bostonjobs,['Boston jobs']
106,woolworths,['wool worths']
107,Temenos,['Temenos']
108,mallus,['mallus']
109,exploracoeur,['exploracoeur']
110,peidonacara,"['peidonacara', 'peidona cara', 'peido na cara']"
111,bonaventure,"['Bonaventure', 'bonaventure']"
112,breakdown,['breakdown']
113,tears,['tears']
114,CCD,['CCD']
115,emma,['Emma']
116,juventus,"['Juventus', 'juventus']"
117,chuckmeweek,['Chuck me week']
118,tweezy,['Tweezy']
119,berkshire,"['Berkshire', 'berkshire']"
120,Elections,['Elections']
121,ER,['ER']
122,skadworldwide,['skad worldwide']
123,talkingshop,['talking shop']
124,Glagow,['Glagow']
125,evernote_eyefi,['evernote _ eyefi']
126,tangodance,['tango dance']
127,dccph,"['DCCPH', 'dccph']"
128,brumtwestival,"['brumtwestival', 'brum twestival']"
129,earlyup,['early up']
130,abduzeedo,"['Abduzeedo', 'abduzeedo']"
131,vrijmibo,['vrijmibo']
132,cheapo,['cheapo']
133,MADONNA,['MADONNA']
134,twalk,"['twalk', 'Twalk']"
135,peoplewhosuck,['people who suck']
136,PARENTING,['parenting']
137,vmaj,['vmaj']
138,btat,['btat']
139,notadoctor,['not a doctor']
140,shakeshack,"['Shake Shack', 'SHAKE SHACK']"
