,hashtags,goldtruths
0,Typo3,"['Typo3', 'TYPO3']"
1,KolacheFactory,['Kolache Factory']
2,moanmondays,['moan mondays']
3,semantic,['semantic']
4,babypunch,['baby punch']
5,flossylove,['flossy love']
6,justsayin,"['just sayin', 'just sayin', 'just sayin ']"
7,Logies,"['Logies', 'logies']"
8,football3s,['football 3s']
9,prosehos,"['prose hos', 'prosehos']"
10,blisters,['blisters']
11,homebirth,['home birth']
12,Continental,['Continental']
13,kentuckyderby,['kentucky derby']
14,iPhoneForAlonis,['iPhone For Alonis']
15,gr8conf,"['GR8Conf', 'gr8conf', 'gr8 conf']"
16,TWELVE,['TWELVE']
17,follow,['follow']
18,nobitchassnessfriday,"['no bitchassness friday', 'no bitchass ness friday', 'no bitch assness friday', 'no bitchassness friday']"
19,openspacecode,"['openspacecode', 'open space code', 'OpenSpace code']"
20,thegreenteen,['the green teen']
21,medifast,['medifast']
22,Geek,['Geek']
23,Liverpool,['Liverpool']
24,phpvikinger,['php vikinger']
25,xenocide,['xenocide']
26,campcourage,['camp courage']
27,stillnotreadyfor100degreeweatherbutluvPhx,['still not ready for 100 degree weather but luv Phx']
28,McFly,['McFly']
29,SharePoint,['SharePoint']
30,LemonTree,['Lemon Tree']
31,ccnet,"['ccnet', 'CCNet']"
32,hamthrax,"['Hamthrax', 'hamthrax']"
33,PeopleBrowsr,"['people browsr', 'PeopleBrowsr']"
34,maddie,['maddie']
35,sota09,['sota 09']
36,sagepay,['sage pay']
37,unfollow,['unfollow']
38,london2009,['london 2009']
39,charitytuesday,['charity tuesday']
40,ItsGrimUpNorth,"['Its Grim Up North', 'It s Grim Up North']"
41,elementsc,['element sc']
42,twares,['twares']
43,steviewonder,"['Stevie wonder', 'stevie wonder']"
44,fartingloud,['farting loud']
45,beerfriday,['beer friday']
46,jonaslive,"['Jonas live', 'jonas live']"
47,vegas,"['vegas', 'Vegas']"
48,appstore,"['appstore', 'app store']"
49,PUGHUG,"['pug hug', 'PUG HUG']"
50,nerdprom,['nerd prom']
51,otalia,"['otalia', 'Otalia']"
52,girlcrush,['girl crush']
53,Hunchback,['Hunchback']
54,trafficza,['traffic za']
55,writechat,"['writechat', 'WriteChat', 'write chat']"
56,codecompletion,['code completion']
57,magic,['magic']
58,cartoonavie,['cartoon avie']
59,HsvTweetup,['Hsv Tweetup']
60,stc09,"['stc09', 'stc 09']"
61,wishiwasinLA,"['wish i was in LA', 'wish I was in LA']"
62,Prabhakaran,['Prabhakaran']
63,lions2009,"['lions 2009', 'Lions 2009']"
64,dongle,['dongle']
65,heartballoon,['heart balloon']
66,spymaster,['spymaster']
67,UFC97,"['UFC97', 'UFC 97']"
68,twittermusical,['twitter musical']
69,COBOL,['COBOL']
70,familyhistory,['family history']
71,webdu,"['webDU', 'webdu', 'web du']"
72,makerfaire,['maker faire']
73,sleep,['sleep']
74,Bruins,['Bruins']
75,whatcotyisnotdoing,"['what COTY is not doing', 'what coty is not doing']"
76,qanda,"['Q and A', 'q and a']"
77,starwars,"['Star Wars', 'star wars']"
78,auremix,['au remix']
79,phillycodecamp,['philly code camp']
80,3wordsaftersex,['3 words after sex']
81,spoonies,['spoonies']
82,gfree,"['gfree', 'g free', 'Gfree']"
83,bacon,['bacon']
84,lostthegame,['lost the game']
85,DRWHO,['DR WHO']
86,electrohouse,['electro house']
87,eurovision,['eurovision']
88,Letmego,['Let me go']
89,3aaah,['3 aaah']
90,bck5,['bck5']
91,MusicMonday,"['music monday', 'Music Monday']"
92,vitaminwater,['vitamin water']
93,symp09,"['SYMP 09', 'symp 09', 'symp09']"
94,dissertation,['dissertation']
95,Nambu,['Nambu']
96,asylum,['asylum']
97,thegreendeath,['the green death']
98,bittorrent,"['Bit Torrent', 'bittorrent']"
99,omgimpatient,"['OMG impatient', 'omg impatient']"
100,BEAtwittyparty,['BEA twitty party']
101,letwellshavespotifybackonhercomputer,['let wells have spotify back on her computer']
102,icehockey,['ice hockey']
103,overload,['overload']
104,shaundiviney,"['Shaun Diviney', 'shaun diviney']"
105,twins,['twins']
106,heavyworkload,['heavy workload']
107,mustory,['mu story']
108,kitchenfire,['kitchen fire']
109,beaconHotel,['beacon Hotel']
110,camerafail,['camera fail']
111,JavaONE,['javaone']
112,democamp,"['demo camp', 'Demo camp', 'democamp']"
113,tags,['tags']
114,Emetrics,['Emetrics']
115,laker,['laker']
116,Moscato,['Moscato']
117,french,['french']
118,netprophet,"['netprophet', 'net prophet', 'NetProphet']"
119,FAIl,"['fail', 'FAIl']"
120,kimi,['kimi']
121,forex,['forex']
122,baseball,['baseball']
123,SArmy,['s army']
124,ubuntu,"['Ubuntu', 'ubuntu']"
125,volkswagen,['volkswagen']
126,earthquake,"['earthquake', 'Earthquake']"
127,summer09,"['summer 09', 'summer09', 'Summer 09']"
128,progrock,['prog rock']
129,muftyfail,['mufty fail']
130,twist,['twist']
131,Chestermere,['Chestermere']
132,rockbox,"['rockbox', 'Rockbox', 'rock box']"
133,futuresummit,"['future summit', 'Future Summit']"
134,hotlesbiantwitterlovin,['hot lesbian twitter lovin']
135,zachissexy,['zach is sexy']
136,copyediting,"['copyediting', 'copy editing']"
137,derby,['derby']
138,climb,['climb']
139,Ericsson,['Ericsson']
140,saveearl,"['save earl', 'save Earl']"
141,firefox,['firefox']
142,globalwarming,['global warming']
143,hbmf,['hbmf']
144,uprise,['uprise']
145,drobo,"['Drobo', 'drobo']"
146,followFriday,['follow friday']
147,yayman,['yay man']
148,Dayquil,"['Dayquil', 'DayQuil']"
149,tweetdare,"['tweetdare', 'tweet dare']"
150,bushfires,"['bushfires', 'Bushfires']"
151,boobadlosers,['boo bad losers']
152,stillsmokefree,"['still smoke free', 'still smokefree']"
153,ihaterotoscoping4eva,"['I hate rotoscoping 4eva', 'i hate rotoscoping 4eva']"
154,frehleyfriday,['frehley friday']
155,fuckyoufridays,['fuck you fridays']
156,SBdrinks,['SB drinks']
157,unfollowfriday,['unfollow friday']
158,brandwkshop,['brand wkshop']
159,digitalplanet,"['Digital Planet', 'digital planet']"
160,tek09,"['tek09', 'tek 09']"
161,teched09,"['TechEd 09', 'teched09', 'teched 09']"
162,Synology,['Synology']
163,Chrome,['Chrome']
164,thedailyshow,"['The Daily Show', 'the daily show']"
165,redwings,"['red wings', 'Red Wings']"
166,music,['music']
167,iphone,"['iphone', 'iPhone']"
168,waketraining,['wake training']
169,manics,['manics']
170,postdigital,['post digital']
171,trueblood,['true blood']
172,beatweetup,"['bea tweet up', 'bea tweetup']"
173,GMail,['GMail']
174,realitycheck,['reality check']
175,adtech,['adtech']
176,Brighton,['Brighton']
177,Pity,"['pity', 'Pity']"
178,jonasnewsongs,"['jonas new songs', 'Jonas new songs']"
179,sackofdicks,['sack of dicks']
180,GamePorts,['Game Ports']
181,Masterchef,"['Masterchef', 'Master chef']"
182,Indy,['Indy']
183,yahoo,['yahoo']
184,AllTimeLowSuckMoreCockThanAWellPaidWhore,"['All time low suck more cock than a well paid whore', 'All Time Low Suck More Cock Than A Well Paid Whore']"
185,aware,['aware']
186,rockplat,['rock plat']
187,bramblesfightback,"['brambles fight back', 'brambles fightback']"
188,ibmcf09,"['ibmcf 09', 'ibmcf09']"
189,beatwittyparty,['bea twitty party']
190,openhacklondon,"['openhacklondon', 'openhack london', 'open hack london']"
191,shoalsbiz,['shoals biz']
192,adamlambert,['adam lambert']
193,webmaster,['webmaster']
194,brasil,"['Brasil', 'brasil']"
195,satchat,"['satchat', 'sat chat']"
196,moanmonday,['moan monday']
197,sytycd,['sytycd']
198,LOST,['LOST']
199,pussycatisland,"['pussycat island', 'pussy cat island']"
200,kosherFAIL,"['kosher FAIL', 'Kosher fail']"
201,TwitterRemix,"['Twitter remix', 'Twitter Remix']"
202,tonightshow,['tonight show']
203,bluebox,"['blue box', 'Bluebox']"
204,myweakness,['my weakness']
205,BringTaraBack,"['bring Tara back', 'bring tara back']"
206,meltingaway,['melting away']
207,sobcon,['sob con']
208,terminator,['terminator']
209,tourdeblono,"['Tour de BloNo', 'tour de blono']"
210,Cookoutofthecentury,['Cookout of the century']
211,barcampbkk3,['bar camp bkk3']
212,india,['india']
213,nascar,"['nascar', 'Nascar']"
214,bostonmarathon,"['boston marathon', 'Boston marathon']"
215,swfoocamp,"['SW foo camp', 'sw foo camp', 'swfoo camp']"
216,Twedding,['Twedding']
217,Amsterdam,['Amsterdam']
218,podcastfriday,['podcast friday']
219,mishaneedschapstick,"['Misha needs chapstick', 'misha needs chapstick']"
220,notatleaky,['not at leaky']
221,savotes,"['SA votes', 'sa votes']"
222,3hotwords,['3 hot words']
223,robinson,['Robinson']
224,Glasgow,['glasgow']
225,Nuggets,['Nuggets']
226,native,['native']
227,Manure,['Manure']
228,dumball,"['dum ball', 'Dumball', 'dumball', 'dumb all']"
229,nucks,['nucks']
230,twpp,['twpp']
231,Marketing,['Marketing']
232,Hoppusday,['Hoppus day']
233,sharepoint,"['sharepoint', 'SharePoint']"
234,Coachella,['Coachella']
235,foodfail,['food fail']
236,inlineslalom,['inline slalom']
237,Graze,['Graze']
238,vancouver,['vancouver']
239,gnucash,"['gnu cash', 'GNU cash']"
240,r2picnic,['r2 picnic']
241,wvfn,"['wvfn', 'WVFN']"
242,lastfm,"['lastfm', 'last fm']"
243,illness,['illness']
244,bookblockade,['book blockade']
245,titsuptuesday,['tits up tuesday']
246,twitter4vg,['twitter 4 vg']
247,frankie95,"['frankie95', 'frankie 95', 'Frankie 95']"
248,spectrial,"['spectrial', 'spec trial']"
249,jazz,['jazz']
250,penilewords,['penile words']
251,sadrakeshaker09,"['sad rake shaker 09', 'Sad rake shaker 09', 'sadrakeshaker09']"
252,forecastfriday,['forecast friday']
253,frenchieb,['frenchie b']
254,hoppusday,"['Hoppus day', 'hoppus day']"
255,NATM2,"['NATM 2', 'NATM2']"
256,mhstrategy,"['mh strategy', 'MH strategy']"
257,sustainability,['sustainability']
258,savefoodday,['save food day']
259,fqfest,"['fq fest', 'FQ Fest', 'fqfest']"
260,topicmaps,['topic maps']
261,wearelasers,['we are lasers']
262,humpthestump,['hump the stump']
263,mymap,['my map']
264,suck,['suck']
265,cfobjective,"['cfobjective', 'cf objective']"
266,sickfriday,['sick friday']
267,amped180,"['amped180', 'Amped 180', 'amped 180']"
268,Dracula,['Dracula']
269,Apple,['Apple']
270,follwillfriday,"['foll will friday', 'Foll Will friday']"
271,dddsw,"['ddd sw', 'dddsw']"
272,redmango,"['red mango', 'Red Mango']"
273,newalbum,['new album']
274,EASactive,['eas active']
275,dogsitterfail,['dogsitter fail']
276,tv_addict,['tv _ addict']
277,hatton,"['hatton', 'Hatton']"
278,accidentshappen,['accidents happen']
279,scrubs,['scrubs']
280,srilanka,"['Sri Lanka', 'sri lanka']"
281,HollywoodRcds,['Hollywood Rcds']
282,familyforce5,['family force 5']
283,democratic,['democratic']
284,3stalkerwords,['3 stalker words']
285,wind,['wind']
286,bpark,"['b park', 'BPark', 'B Park']"
287,idmfinal,['idm final']
