,gold,characters,hypothesis,value
9194,News,News,News,14.383079528808594
18470,9,9,9,14.796024322509766
5474,16,16,16,15.984123229980469
6661,the,the,the,16.459522247314453
68949,Facebook,Facebook,Facebook,16.71926498413086
66840,red,red,red,17.116985321044922
9035,blog,blog,blog,17.23279571533203
26630,football,football,football,17.418750762939453
9912,twitter,twitter,twitter,17.62035369873047
73449,Apple,Apple,Apple,17.631641387939453
66219,sarcasm,sarcasm,sarcasm,17.782546997070312
36255,election,election,election,17.862579345703125
1958,house,house,house,17.882335662841797
1157,italy,italy,italy,17.99207305908203
35207,music,music,music,18.08055877685547
43135,Bristol,Bristol,Bristol,18.139060974121094
56712,Steve,Steve,Steve,18.16769027709961
1074,House,House,House,18.292579650878906
32575,webmaster,webmaster,webmaster,18.310874938964844
12716,photos,photos,photos,18.322311401367188
17967,flickr,flickr,flickr,18.343948364257812
63410,movie,movie,movie,18.405197143554688
8392,Chicago,Chicago,Chicago,18.433551788330078
38897,cars,cars,cars,18.647579193115234
9131,tags,tags,tags,18.679534912109375
2155,cricket,cricket,cricket,18.687786102294922
19050,baseball,baseball,baseball,18.693309783935547
38077,Star Trek,StarTrek,Star Trek,18.769275665283203
12189,amazon,amazon,amazon,18.800369262695312
48163,youtube,youtube,youtube,18.89504623413086
2216,Heroes,Heroes,Heroes,18.954761505126953
13040,asp,asp,asp,18.995689392089844
29243,lost,lost,lost,19.048419952392578
23807,finals,finals,finals,19.075305938720703
65412,early,early,early,19.105716705322266
17892,google,google,google,19.16571807861328
55095,follow,follow,follow,19.181743621826172
723,error,error,error,19.189105987548828
34225,gmail,gmail,gmail,19.19477081298828
25133,amp,amp,amp,19.20684051513672
2550,socks,socks,socks,19.226543426513672
42609,LOST,LOST,LOST,19.251358032226562
51087,sleep,sleep,sleep,19.31417465209961
7936,french,french,french,19.316341400146484
74904,erlang,erlang,erlang,19.355636596679688
71291,windows,windows,windows,19.37822723388672
71073,photography,photography,photography,19.46206283569336
55466,Storm,Storm,Storm,19.54550552368164
18610,india,india,india,19.548866271972656
43827,training,training,training,19.565452575683594
76875,health,health,health,19.57635498046875
70574,Colorado,Colorado,Colorado,19.607589721679688
42195,Monday,Monday,Monday,19.65139389038086
49641,Barcelona,Barcelona,Barcelona,19.666484832763672
50993,Starbucks,Starbucks,Starbucks,19.673748016357422
46429,widgets,widgets,widgets,19.702239990234375
7467,iPhone,iPhone,iPhone,19.70801544189453
50894,cancer,cancer,cancer,19.748321533203125
77013,twist,twist,twist,19.756362915039062
24924,Kindle,Kindle,Kindle,19.79092025756836
9365,spam,spam,spam,19.811920166015625
16453,weather,weather,weather,19.817264556884766
35779,WordPress,WordPress,WordPress,19.86257553100586
46390,Irish,Irish,Irish,19.86827850341797
33744,kindle,kindle,kindle,19.89306640625
54326,jazz,jazz,jazz,19.93414306640625
402,rails,rails,rails,19.941627502441406
23350,hurt,hurt,hurt,20.06728744506836
54008,sunshine,sunshine,sunshine,20.068286895751953
24584,face palm,facepalm,facepalm,20.073089599609375
13607,wind,wind,wind,20.086467742919922
35088,3 words,3words,3 words,20.098392486572266
15924,revision,revision,revision,20.11163330078125
46514,weight,weight,weight,20.13088607788086
1718,spotify,spotify,spotify,20.131061553955078
2387,Angels,Angels,Angels,20.1409912109375
248,fail,fail,fail,20.169010162353516
27785,Arsenal,Arsenal,Arsenal,20.180519104003906
5870,travis,travis,travis,20.193233489990234
57821,Amsterdam,Amsterdam,Amsterdam,20.195362091064453
13856,Evernote,Evernote,Evernote,20.226181030273438
48650,Without,Without,Without,20.227867126464844
17626,breakfast,breakfast,breakfast,20.234813690185547
9043,Wolves,Wolves,Wolves,20.241287231445312
16342,vegas,vegas,vegas,20.255111694335938
18860,Glasgow,Glasgow,Glasgow,20.257408142089844
13795,Brighton,Brighton,Brighton,20.257774353027344
31459,Chrome,Chrome,Chrome,20.270267486572266
49565,last,last,last,20.290142059326172
21643,woo,woo,woo,20.306644439697266
37068,Green Day,GreenDay,Green Day,20.312908172607422
34501,Bones,Bones,Bones,20.31493377685547
6287,Batman,Batman,Batman,20.316020965576172
76966,hashtags,hashtags,hashtags,20.326602935791016
13497,aware,aware,aware,20.33486557006836
76580,fireworks,fireworks,fireworks,20.357921600341797
73339,asylum,asylum,asylum,20.361408233642578
59394,Marketing,Marketing,Marketing,20.362102508544922
17592,walmart,walmart,walmart,20.363361358642578
6604,quote,quote,quote,20.375587463378906
22170,native,native,native,20.400650024414062
2191,Lahore,Lahore,Lahore,20.40276336669922
63737,yahoo,yahoo,yahoo,20.432708740234375
262,Krispy Kreme,KrispyKreme,Krispy Kreme,20.48602294921875
66472,metal,metal,metal,20.496746063232422
21404,Bored,Bored,Bored,20.501502990722656
48198,chicago,chicago,chicago,20.50833511352539
20951,bacon,bacon,bacon,20.521095275878906
11690,sigma,sigma,sigma,20.522674560546875
18268,Outdoors,Outdoors,Outdoors,20.526905059814453
1824,Easter,Easter,Easter,20.53655242919922
15002,geocaching,geocaching,geocaching,20.558074951171875
18971,linux,linux,linux,20.564929962158203
16547,Paperwork,Paperwork,Paperwork,20.591968536376953
17798,insomnia,insomnia,insomnia,20.624149322509766
6516,woot,woot,woot,20.649227142333984
652,earthquake,earthquake,earthquake,20.652000427246094
32188,good luck,goodluck,good luck,20.670501708984375
51053,Surface,Surface,Surface,20.679561614990234
69042,magic,magic,magic,20.681346893310547
29139,lulz,lulz,lulz,20.691524505615234
19250,ubuntu,ubuntu,ubuntu,20.713573455810547
65959,canada,canada,canada,20.723533630371094
13025,azure,azure,azure,20.72745132446289
15720,Wolverine,Wolverine,Wolverine,20.753173828125
42238,firefox,firefox,firefox,20.777950286865234
39626,Dracula,Dracula,Dracula,20.788230895996094
29067,nightmare,nightmare,nightmare,20.81005096435547
36698,Geek,Geek,Geek,20.831695556640625
35222,tennis,tennis,tennis,20.86880111694336
5577,iphone,iphone,iphone,20.868839263916016
15788,twins,twins,twins,20.87636947631836
9995,bittorrent,bittorrent,bittorrent,20.909626007080078
21535,saltwater,saltwater,saltwater,20.977691650390625
7677,spain,spain,spain,20.993030548095703
370,surface,surface,surface,21.00058364868164
23553,Google Chrome,GoogleChrome,Google Chrome,21.023433685302734
20762,netflix,netflix,netflix,21.05617904663086
9186,Moab,Moab,Moab,21.059444427490234
37286,MotoGP,MotoGP,MotoGP,21.062820434570312
57786,Rangers,Rangers,Rangers,21.063892364501953
22575,Liverpool,Liverpool,Liverpool,21.104095458984375
755,Earthquake,Earthquake,Earthquake,21.109756469726562
69111,starbucks,starbucks,starbucks,21.133434295654297
65015,sustainability,sustainability,sustainability,21.136676788330078
15333,victoria,victoria,victoria,21.13711166381836
15995,derby,derby,derby,21.139328002929688
23872,SNL,SNL,SNL,21.1424560546875
1682,Summers,Summers,Summers,21.151485443115234
63712,Ubuntu,Ubuntu,Ubuntu,21.155982971191406
2761,squirrel,squirrel,squirrel,21.18252182006836
74427,SGA,SGA,SGA,21.202693939208984
11400,bsg,bsg,bsg,21.22687530517578
21307,joomla,joomla,joomla,21.231475830078125
39536,Prison Break,PrisonBreak,Prison Break,21.267215728759766
38780,scrubs,scrubs,scrubs,21.29171371459961
60110,illness,illness,illness,21.297969818115234
9139,overload,overload,overload,21.317768096923828
68140,Tori,Tori,Tori,21.322345733642578
30558,muffin,muffin,muffin,21.338092803955078
24344,Adelaide,Adelaide,Adelaide,21.39887237548828
16230,gravity,gravity,gravity,21.420307159423828
16493,wolverine,wolverine,wolverine,21.424488067626953
