,gold,characters,hypothesis,value
160192,9,9,9,17.280006408691406
46772,Москва,Москва,Москва,24.53726577758789
68619,США,США,США,25.28866958618164
79498,Фото,Фото,Фото,25.632783889770508
32599,История,История,История,25.66143035888672
140152,работа,работа,работа,25.97450065612793
82028,Чита,Чита,Чита,26.81900405883789
68617,СФ,СФ,СФ,27.990825653076172
68615,СУ,СУ,СУ,28.124195098876953
76041,ТВ,ТВ,ТВ,28.195884704589844
65046,Путин,Путин,Путин,28.600536346435547
116247,мото,мото,мото,28.677505493164062
68427,СМИ,СМИ,СМИ,28.69597053527832
53666,ПРО,ПРО,ПРО,28.81698226928711
49786,Новости,Новости,Новости,28.835432052612305
79816,Хама,Хама,Хама,28.868465423583984
3634,Бал,Бал,Бал,28.889041900634766
50254,Образование,Образование,Образование,29.155433654785156
65542,РФ,РФ,РФ,29.17498016357422
53557,ПМ,ПМ,ПМ,29.304180145263672
80707,Цитата,Цитата,Цитата,29.428646087646484
122357,общество,общество,общество,29.592880249023438
90391,видео,видео,видео,29.601564407348633
68611,ССО,ССО,ССО,29.61893081665039
6368,ВДВ,ВДВ,ВДВ,29.633159637451172
68235,СВД,СВД,СВД,29.87696075439453
92894,главное,главное,главное,29.881336212158203
86939,банк,банк,банк,29.896385192871094
26553,Дети,Дети,Дети,29.9631404876709
68223,САУ,САУ,САУ,30.04774284362793
153081,форум,форум,форум,30.05999755859375
105222,история,история,история,30.2061767578125
94209,дата,дата,дата,30.241260528564453
78811,Урал,Урал,Урал,30.307247161865234
127491,письма,письма,письма,30.311321258544922
68583,СПб,СПб,СПб,30.33773422241211
38784,Луна,Луна,Луна,30.384780883789062
84305,авто,авто,авто,30.38779067993164
50215,ООН,ООН,ООН,30.390174865722656
39587,МВД,МВД,МВД,30.434295654296875
78999,Учение,Учение,Учение,30.455408096313477
107032,кино,кино,кино,30.456600189208984
80851,ЧМ,ЧМ,ЧМ,30.474899291992188
618,Автомат,Автомат,Автомат,30.50440216064453
2536,Армия,Армия,Армия,30.521244049072266
6501,ВОВ,ВОВ,ВОВ,30.58156967163086
27826,Дорога,Дорога,Дорога,30.58694076538086
68085,Рысь,Рысь,Рысь,30.645618438720703
68571,СПБ,СПБ,СПБ,30.69481658935547
105920,карта,карта,карта,30.729652404785156
65552,РЭБ,РЭБ,РЭБ,30.74142074584961
65538,РСМ,РСМ,РСМ,30.74308967590332
158009,12 декабря,12декабря,12 декабря,30.755584716796875
37445,Куба,Куба,Куба,30.769737243652344
129554,погода,погода,погода,30.835712432861328
17194,ГОЗ,ГОЗ,ГОЗ,30.858633041381836
3632,БФ,БФ,БФ,30.875152587890625
54156,Парад,Парад,Парад,30.877395629882812
6407,ВКС,ВКС,ВКС,30.8789119720459
39679,МГУ,МГУ,МГУ,30.887165069580078
6344,ВАО,ВАО,ВАО,30.976593017578125
33313,Казань,Казань,Казань,30.993688583374023
